,auc,accuracy,f1
0,0.5,0.5,0.34375000000000006
1,0.5,0.5,0.34375000000000006
2,0.5,0.5,0.34375000000000006
3,0.5,0.5,0.34375000000000006
4,0.5,0.5,0.34375000000000006
5,0.5,0.5,0.34375000000000006
6,0.5,0.5,0.34375000000000006
7,0.5,0.5,0.34375000000000006
8,0.5,0.5,0.34375000000000006
9,0.5,0.5,0.34375000000000006
10,0.5,0.5,0.34375000000000006
11,0.5,0.5,0.34375000000000006
12,0.5,0.5,0.34375000000000006
13,0.5,0.5,0.34375000000000006
14,0.5,0.5,0.34375000000000006
15,0.5,0.5,0.34375000000000006
16,0.5,0.5,0.34375000000000006
17,0.5,0.5,0.34375000000000006
18,0.5,0.5,0.34375000000000006
19,0.5,0.5,0.34375000000000006
