,auc,accuracy,f1
0,0.4642857142857143,0.4444444444444444,0.3823529411764706
1,0.4642857142857143,0.4444444444444444,0.3823529411764706
2,0.4642857142857143,0.4444444444444444,0.3823529411764706
3,0.4642857142857143,0.4444444444444444,0.3823529411764706
4,0.4642857142857143,0.4444444444444444,0.3823529411764706
5,0.4642857142857143,0.4444444444444444,0.3823529411764706
6,0.4642857142857143,0.4444444444444444,0.3823529411764706
7,0.4642857142857143,0.4444444444444444,0.3823529411764706
8,0.4642857142857143,0.4444444444444444,0.3823529411764706
9,0.4642857142857143,0.4444444444444444,0.3823529411764706
10,0.4642857142857143,0.4444444444444444,0.3823529411764706
11,0.4642857142857143,0.4444444444444444,0.3823529411764706
12,0.4642857142857143,0.4444444444444444,0.3823529411764706
13,0.4642857142857143,0.4444444444444444,0.3823529411764706
14,0.4642857142857143,0.4444444444444444,0.3823529411764706
15,0.4642857142857143,0.4444444444444444,0.3823529411764706
16,0.4642857142857143,0.4444444444444444,0.3823529411764706
17,0.4642857142857143,0.4444444444444444,0.3823529411764706
18,0.4642857142857143,0.4444444444444444,0.3823529411764706
19,0.4642857142857143,0.4444444444444444,0.3823529411764706
