,auc1,auc2,accuracy,f1
0,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
1,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
2,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
3,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
4,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
5,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
6,0.42857142857142855,0.42857142857142855,0.6,0.375
7,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
8,0.42857142857142855,0.42857142857142855,0.6,0.375
9,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
10,0.42857142857142855,0.42857142857142855,0.6,0.375
11,0.42857142857142855,0.42857142857142855,0.6,0.375
12,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
13,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
14,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
15,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
16,0.42857142857142855,0.42857142857142855,0.6,0.375
17,0.42857142857142855,0.42857142857142855,0.6,0.375
18,0.42857142857142855,0.42857142857142855,0.6,0.375
19,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
