,auc1,auc2,accuracy,f1
0,0.5158730158730158,0.5158730158730158,0.6333333333333333,0.5111111111111112
1,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
2,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
3,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
4,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
5,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
6,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
7,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
8,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
9,0.46031746031746035,0.46031746031746035,0.6,0.44099378881987583
10,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
11,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
12,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
13,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
14,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
15,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
16,0.4841269841269842,0.4841269841269842,0.6333333333333333,0.4599018003273323
17,0.42857142857142855,0.42857142857142855,0.6,0.375
18,0.5396825396825397,0.5396825396825397,0.6666666666666666,0.5341614906832298
19,0.42857142857142855,0.42857142857142855,0.6,0.375
