,auc,accuracy,f1
0,0.5714285714285714,0.5,0.5367647058823529
1,0.5714285714285714,0.5,0.5367647058823529
2,0.5714285714285714,0.5,0.5367647058823529
3,0.5714285714285714,0.5,0.5367647058823529
4,0.5714285714285714,0.5,0.5367647058823529
5,0.5714285714285714,0.5,0.5367647058823529
6,0.5714285714285714,0.5,0.5367647058823529
7,0.5714285714285714,0.5,0.5367647058823529
8,0.5714285714285714,0.5,0.5367647058823529
9,0.5714285714285714,0.5,0.5367647058823529
10,0.5714285714285714,0.5,0.5367647058823529
11,0.5714285714285714,0.5,0.5367647058823529
12,0.5714285714285714,0.5,0.5367647058823529
13,0.5714285714285714,0.5,0.5367647058823529
14,0.5714285714285714,0.5,0.5367647058823529
15,0.5714285714285714,0.5,0.5367647058823529
16,0.5357142857142858,0.4444444444444444,0.5050505050505051
17,0.5714285714285714,0.5,0.5367647058823529
18,0.5714285714285714,0.5,0.5367647058823529
19,0.5357142857142858,0.4444444444444444,0.5050505050505051
