,auc,accuracy,f1
0,0.5,0.5,0.34375000000000006
1,0.45454545454545453,0.4375,0.3225806451612903
2,0.45454545454545453,0.4375,0.3225806451612903
3,0.5,0.5,0.34375000000000006
4,0.45454545454545453,0.4375,0.3225806451612903
5,0.45454545454545453,0.4375,0.3225806451612903
6,0.5,0.5,0.34375000000000006
7,0.45454545454545453,0.4375,0.3225806451612903
8,0.5,0.5,0.34375000000000006
9,0.45454545454545453,0.4375,0.3225806451612903
10,0.45454545454545453,0.4375,0.3225806451612903
11,0.45454545454545453,0.4375,0.3225806451612903
12,0.45454545454545453,0.4375,0.3225806451612903
13,0.45454545454545453,0.4375,0.3225806451612903
14,0.45454545454545453,0.4375,0.3225806451612903
15,0.45454545454545453,0.4375,0.3225806451612903
16,0.45454545454545453,0.4375,0.3225806451612903
17,0.45454545454545453,0.4375,0.3225806451612903
18,0.5,0.5,0.34375000000000006
19,0.5,0.5,0.34375000000000006
