,auc,accuracy,precision,recall,f1,fpr,auc_m,accuracy_m,precision_m,recall_m,f1_m,fpr_m,auc_w,accuracy_w,precision_w,recall_w,f1_w,fpr_w,auc_ot,accuracy_ot,precision_ot,recall_ot,f1_ot,fpr_ot,auc_y,accuracy_y,precision_y,recall_y,f1_y,fpr_y,auc_o,accuracy_o,precision_o,recall_o,f1_o,fpr_o
0,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
1,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
2,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
3,0.634920635,0.666666667,0.789473684,0.714285714,0.625,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.522727273,0.533333333,0.75,0.545454545,0.497607656,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
4,0.69047619,0.7,0.833333333,0.714285714,0.67032967,0.1,0.675,0.705882353,0.818181818,0.75,0.664031621,0.117647059,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.647727273,0.6,0.857142857,0.545454545,0.583333333,0.066666667,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
5,0.714285714,0.733333333,0.842105263,0.761904762,0.7,0.1,0.675,0.705882353,0.818181818,0.75,0.664031621,0.117647059,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.693181818,0.666666667,0.875,0.636363636,0.641148325,0.066666667,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
6,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
7,0.69047619,0.7,0.833333333,0.714285714,0.67032967,0.1,0.675,0.705882353,0.818181818,0.75,0.664031621,0.117647059,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.647727273,0.6,0.857142857,0.545454545,0.583333333,0.066666667,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
8,0.634920635,0.666666667,0.789473684,0.714285714,0.625,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.522727273,0.533333333,0.75,0.545454545,0.497607656,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
9,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
10,0.634920635,0.666666667,0.789473684,0.714285714,0.625,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.522727273,0.533333333,0.75,0.545454545,0.497607656,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
11,0.634920635,0.666666667,0.789473684,0.714285714,0.625,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.645833333,0.636363636,0.833333333,0.625,0.090909091,1,1,1,1,1,0,0.607142857,0.522727273,0.533333333,0.75,0.545454545,0.497607656,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
12,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
13,0.658730159,0.7,0.8,0.761904762,0.653401797,0.133333333,0.575,0.647058824,0.75,0.75,0.575,0.176470588,0.708333333,0.727272727,0.857142857,0.75,0.090909091,1,1,1,1,1,0,0.685714286,0.568181818,0.6,0.777777778,0.636363636,0.55,0.133333333,0.75,0.8,0.818181818,0.9,0.761904762,0.133333333
