,auc1,auc2,accuracy,f1
0,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
1,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
2,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
3,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
4,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
5,0.5793650793650794,0.5793650793650794,0.6333333333333333,0.576379974326059
6,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
7,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
8,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
9,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
10,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
11,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
12,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
13,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
14,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
15,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
16,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
17,0.5793650793650794,0.5793650793650794,0.6333333333333333,0.576379974326059
18,0.6031746031746031,0.6031746031746031,0.6666666666666666,0.6031746031746031
19,0.5555555555555555,0.5555555555555555,0.6,0.5499999999999999
