,auc,accuracy,f1
0,0.5,0.5,0.4
1,0.5357142857142858,0.4444444444444444,0.5050505050505051
2,0.5,0.5,0.4
3,0.4642857142857143,0.4444444444444444,0.3823529411764706
4,0.4642857142857143,0.4444444444444444,0.3823529411764706
5,0.5,0.5,0.4
6,0.4642857142857143,0.4444444444444444,0.3823529411764706
7,0.5,0.5,0.4
8,0.5,0.5,0.4
9,0.4642857142857143,0.4444444444444444,0.3823529411764706
10,0.4642857142857143,0.4444444444444444,0.3823529411764706
11,0.5,0.5,0.4
12,0.4642857142857143,0.4444444444444444,0.3823529411764706
13,0.5,0.5,0.4
14,0.4642857142857143,0.4444444444444444,0.3823529411764706
15,0.4642857142857143,0.4444444444444444,0.3823529411764706
16,0.4642857142857143,0.4444444444444444,0.3823529411764706
17,0.4642857142857143,0.4444444444444444,0.3823529411764706
18,0.5,0.5,0.4
19,0.4642857142857143,0.4444444444444444,0.3823529411764706
