,post_id,comment_sentiment,comment_happy,comment_angry,comment_surprise,comment_sad,comment_fear,comment_number
0,000062c103eeddb29005975db731120a,0.0,0.0,0.0,0.0,0.0,0.0,1
1,00011314918d2d04a460f418ef6a079b,0.3595,0.5,0.0,0.0,0.5,0.0,3
2,00030b4cb22bdb91008ccd7975933b71,-0.9957,0.07,0.07,0.22,0.26,0.39,38
3,0006e0552739024f340e47050a4d3591,0.4215,0.0,0.0,0.0,0.0,0.0,1
4,000971478e54df612a73428bc64b53d2,0.4215,0.0,0.0,0.0,0.0,0.0,2
5,000accc7170d28e16513ab5e93ea374e,0.8798,0.17,0.0,0.67,0.0,0.17,3
6,000d3d50eef8787c0e4673d3bfe3f855,-0.3182,0.0,0.0,0.0,1.0,0.0,1
7,000d8d20f1626f32cdf6622cb00284aa,-0.4404,0.0,0.0,0.5,0.5,0.0,3
8,000e3d295ae24b424916d313e0693c26,0.0772,0.33,0.0,0.33,0.17,0.17,2
9,0010d119f85814e0f762f703def0931f,-0.8348,1.0,0.0,0.0,0.0,0.0,20
10,00116b697131ecadf045d613654746e7,0.0,0.0,0.0,1.0,0.0,0.0,2
11,0014e28a3624f86fc768d1a3f373270a,0.8433,0.5,0.0,0.25,0.0,0.25,3
12,0015ddb0a4371ba597f93b678dcaf625,0.0,0.0,0.0,0.0,0.0,0.0,1
13,0015e1123e383396a1c1dd7ac88742d7,0.0,0.0,0.0,0.0,0.0,1.0,1
14,0017deb2a77fb1b88497f97f524372a8,0.0428,0.4,0.2,0.0,0.2,0.2,1
15,0019ce03b6fdb2e85b5b1ebec0d3af72,0.0,0.0,0.0,0.0,0.0,0.0,1
16,001f8d780783e6b712520b1c6e85a673,0.7921,0.0,0.33,0.67,0.0,0.0,1
17,00216009db7fea2dbfd4ba229e236b4d,-0.792,0.5,0.0,0.5,0.0,0.0,2
18,0026a0cd21750a40744663b663fc3319,0.91,0.29,0.0,0.29,0.43,0.0,4
19,00299291ca0a428f322e3becc83e6708,0.508,0.0,0.0,0.0,1.0,0.0,1
20,002b63b70d8d4e979250b9e3b1955acd,0.0,0.0,0.0,0.0,0.0,0.0,2
21,002bcd34fa86d03af1fe701303e3b553,0.0,0.0,0.0,0.0,0.0,0.0,1
22,002d41538bc4ce331becb4cd4cfdc392,0.0913,0.25,0.0,0.25,0.5,0.0,4
23,00332b47e80e6e965574675f34ea4a76,-0.7335,0.0,0.0,0.2,0.0,0.8,3
24,00424715e25259e7f45b6ea6b1e1a0c4,0.802,0.0,0.0,1.0,0.0,0.0,4
25,00437135dfcf9900940c6f2f56efd1dc,0.9059,0.0,0.0,0.0,1.0,0.0,5
26,00441f053f1ab3054bc84fab1ab00a29,0.6083,0.0,0.0,0.0,0.5,0.5,2
