Number of Topics,Coherence,Perpelxity
7,0.27690116949725446,-7.600553964128282
8,0.3062512241912716,-7.606168121775544
9,0.3309448605232767,-7.60393472657203
10,0.32563521742487395,-7.603547805870419
11,0.4262933117093848,-7.673520430005207
12,0.3714111610401638,-7.7648507747020625
13,0.34790485046553543,-7.921111721877218
14,0.3266598424181634,-8.069791353675587
15,0.35713131544162413,-8.193550550994926
16,0.30908742371111597,-8.29014471595139
