Number of Topics,Coherence,Perpelxity
7,0.27821697340881796,-7.600119638596421
9,0.37474480770933527,-7.603355285350717
11,0.395721126404692,-7.731035524372962
13,0.3985340946048929,-8.033395145669086
15,0.3556661337547283,-8.28511681615581
